usage: main.py [-h] [--dataset DATASET] [--topic_num TOPIC_NUM]
               [--init_dataset] [--seed SEED] [--time_steps TIME_STEPS]
               [--AI AI] [--LAMBDA LAMBDA] [--prob_send_msg PROB_SEND_MSG]
               [--k K] [--worker_num WORKER_NUM] [--plot] [--multi_thread]
               [--plot_type PLOT_TYPE]

Hyper Parameters

optional arguments:
  -h, --help            show this help message and exit
  --dataset DATASET
  --topic_num TOPIC_NUM
  --init_dataset
  --seed SEED
  --time_steps TIME_STEPS
  --AI AI
  --LAMBDA LAMBDA
  --prob_send_msg PROB_SEND_MSG
  --k K
  --worker_num WORKER_NUM
  --plot
  --multi_thread
  --plot_type PLOT_TYPE
Namespace(AI='CB', LAMBDA=0.5, dataset='ciao_clean', init_dataset=False, k=5, multi_thread=False, plot=False, plot_type='fb', prob_send_msg=0.2, seed=321, time_steps=1000, topic_num=5, worker_num=10)
Time step: 250 | Execution time: 18s | Avg. FB: 1.563998
Time step: 251 | Execution time: 18s | Avg. FB: 1.564005
Time step: 252 | Execution time: 18s | Avg. FB: 1.563993
Time step: 253 | Execution time: 19s | Avg. FB: 1.564001
Time step: 254 | Execution time: 17s | Avg. FB: 1.564001
Time step: 255 | Execution time: 19s | Avg. FB: 1.563993
Time step: 256 | Execution time: 18s | Avg. FB: 1.563998
Time step: 257 | Execution time: 19s | Avg. FB: 1.563998
Time step: 258 | Execution time: 19s | Avg. FB: 1.564004
Time step: 259 | Execution time: 19s | Avg. FB: 1.564002
Time step: 260 | Execution time: 19s | Avg. FB: 1.563991
Time step: 261 | Execution time: 19s | Avg. FB: 1.563988
Time step: 262 | Execution time: 18s | Avg. FB: 1.563980
Time step: 263 | Execution time: 20s | Avg. FB: 1.563980
Time step: 264 | Execution time: 18s | Avg. FB: 1.563986
Time step: 265 | Execution time: 19s | Avg. FB: 1.563980
Time step: 266 | Execution time: 18s | Avg. FB: 1.563977
Time step: 267 | Execution time: 19s | Avg. FB: 1.563965
Time step: 268 | Execution time: 19s | Avg. FB: 1.563952
Time step: 269 | Execution time: 18s | Avg. FB: 1.563956
Time step: 270 | Execution time: 19s | Avg. FB: 1.563971
Time step: 271 | Execution time: 19s | Avg. FB: 1.563974
Time step: 272 | Execution time: 19s | Avg. FB: 1.563976
